longitude,latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,Road_Type,Speed_limit,Junction_Detail,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Date
73.95308521,18.63804068,3,3,1,2,11:30,6,30,9,1,1,1,1,19-09-2018
73.93703105,18.57776721,1,1,1,7,21:20,6,30,3,4,1,2,1,17-09-2018
73.86670313,18.51727313,3,2,2,2,15:40,6,30,3,1,1,1,1,19-09-2018
73.86804003,18.53939361,3,2,1,6,17:30,6,30,0,1,1,1,1,16-09-2018
73.90228339,18.51298408,3,1,1,7,12:20,6,30,9,1,1,1,1,24-09-2018
73.83880829,18.52474498,3,2,2,4,17:30,6,30,0,1,1,1,1,21-09-2018
73.77295041,18.63209165,3,2,1,7,15:45,6,30,6,1,1,1,1,24-09-2018
73.7349507,18.51737643,3,2,1,5,08:00,6,30,6,1,1,1,1,22-09-2018
73.86827969,18.60589528,3,3,1,7,18:30,9,30,3,1,1,1,1,24-09-2018
73.82533427,18.63032616,3,2,1,1,02:00,6,30,3,4,1,1,1,25-09-2018
73.81824872,18.53034993,3,2,2,4,20:25,6,30,9,4,1,1,1,21-09-2018
73.83156904,18.49508096,3,2,1,5,19:35,6,30,6,4,1,2,1,22-09-2018
73.9303068,18.58675365,3,2,2,5,20:55,6,30,0,4,1,1,1,22-09-2018
73.86339942,18.54607714,2,1,1,7,15:30,6,30,9,1,1,1,1,24-09-2018
73.73892116,18.51284847,3,1,1,6,17:10,6,30,3,1,1,1,1,23-09-2018
73.80709162,18.60445287,3,3,3,1,15:20,6,40,0,1,1,1,2,25-09-2018
73.88993548,18.64081613,3,3,1,2,16:50,6,30,9,1,1,1,1,26-09-2018
73.90823813,18.57737665,3,2,2,6,22:20,9,30,9,4,9,1,1,30-09-2018
73.90762321,18.55166347,3,1,1,7,23:15,6,30,3,4,1,1,1,24-09-2018
73.74569101,18.53383791,3,2,1,3,17:10,6,30,3,1,1,1,1,27-09-2018
73.89302253,18.56601259,3,3,2,3,16:50,6,30,6,1,1,1,1,27-09-2018
73.7347239,18.57860009,3,3,1,7,11:05,3,30,6,1,2,2,1,01-10-2018
