accident_id,latitude,longitude,datetime,hour,day_of_week,severity,weather,road_type,visibility,traffic_level,road_condition,lighting,junction,speed_limit,vehicle_type,area_name
1,18.535767141530112,73.84611735698829,2023-09-06 07:53:23,7,2,1,Rain,Intersection,0.7993292420985183,2,Dry,Daylight,1,40,Bus,Shivajinagar
2,18.534725797504024,73.8382081533307,2023-02-13 05:40:50,5,0,1,Clear,Highway,0.8609993861334124,2,Dry,Night,1,60,Bike,Shivajinagar
3,18.50640894184944,73.85353441225038,2023-01-10 17:07:01,17,1,1,Clear,Highway,0.9868777594207296,3,Dry,Daylight,0,80,Truck,Shivajinagar
4,18.52479746149894,73.85697439821047,2023-10-15 23:45:05,23,6,1,Clear,Highway,0.8421165132560784,4,Wet,Night,0,80,Bike,Shivajinagar
5,18.518868417705107,73.84340948098276,2023-04-17 19:27:32,19,0,2,Rain,Highway,0.7125779372456224,2,Dry,Daylight,1,60,Bus,Shivajinagar
6,18.538184665799953,73.8492136828119,2023-04-06 02:33:27,2,3,3,Clear,Highway,0.5979914312095727,1,Wet,Night,0,60,Truck,Shivajinagar
7,18.526193612290403,73.85807122226218,2023-03-28 16:28:29,16,1,1,Clear,Highway,0.7713480415791243,1,Dry,Daylight,0,80,Car,Shivajinagar
8,18.524030779996938,73.85361676288841,2023-02-24 04:35:15,4,4,2,Clear,Intersection,0.9077307142274171,1,Dry,Night,0,40,Bike,Shivajinagar
9,18.52240782476777,73.84440787624149,2023-10-14 00:24:33,0,5,1,Rain,Intersection,0.811649063413779,2,Dry,Night,1,40,Truck,Shivajinagar
10,18.51505844713056,73.85387952943225,2023-02-09 19:19:27,19,3,2,Clear,City Road,0.6914634373768949,3,Dry,Daylight,0,60,Truck,Shivajinagar
11,18.529294661417403,73.83784442328104,2023-09-20 19:17:46,19,2,1,Clear,City Road,0.9478817978367597,1,Dry,Daylight,0,80,Car,Shivajinagar
12,18.516614035369845,73.84940336984965,2023-10-15 15:31:25,15,6,1,Fog,City Road,0.399716366622134,3,Wet,Daylight,0,60,Car,Shivajinagar
13,18.529747428659988,73.83794653555282,2023-12-13 11:42:58,11,2,1,Clear,Intersection,0.7082549739351831,3,Wet,Daylight,0,80,Bike,Shivajinagar
14,18.528233698173075,73.84382174275866,2023-07-31 19:11:04,19,0,1,Clear,City Road,0.9090073829612466,1,Wet,Daylight,0,40,Bike,Shivajinagar
15,18.526844835484198,73.84460863143529,2023-02-03 18:19:43,18,4,1,Clear,City Road,0.9714548519562596,1,Dry,Daylight,1,60,Truck,Shivajinagar
16,18.511612287847008,73.84723486124551,2023-08-18 07:47:20,7,4,3,Clear,City Road,0.5184434736772664,1,Dry,Daylight,0,40,Car,Shivajinagar
17,18.525052907923865,73.8432850177966,2023-06-13 20:35:47,20,1,1,Clear,Intersection,0.9928252270553004,4,Dry,Night,0,60,Bus,Shivajinagar
18,18.534361598303892,73.84728119125661,2023-01-13 08:14:09,8,4,1,Clear,Intersection,0.908215936609692,1,Wet,Daylight,1,40,Truck,Shivajinagar
19,18.547866049536783,73.85623589415636,2023-01-12 13:43:48,13,3,1,Clear,Intersection,0.7560465291496405,3,Wet,Daylight,0,40,Bus,Shivajinagar
20,18.537005482159618,73.84589062623137,2023-02-06 09:18:10,9,0,1,Clear,Intersection,0.6705331755251293,1,Wet,Daylight,1,80,Truck,Shivajinagar
21,18.541238606109186,73.85276448161335,2023-03-26 21:51:13,21,6,3,Clear,City Road,0.7648252891780032,2,Wet,Night,0,40,Bus,Shivajinagar
22,18.51639958552316,73.85940727256113,2023-04-01 08:33:24,8,5,3,Clear,City Road,0.8629778394351197,3,Wet,Daylight,0,80,Car,Shivajinagar
23,18.533730724732987,73.84035648581974,2023-07-16 06:15:09,6,6,1,Clear,Intersection,0.5804040257087493,2,Wet,Daylight,0,40,Bus,Shivajinagar
24,18.521053183297727,73.85537084603742,2023-08-22 19:13:16,19,1,2,Clear,Highway,0.8732457025590121,3,Wet,Daylight,1,80,Truck,Shivajinagar
25,18.517614298392417,73.85470387242037,2023-01-11 07:19:59,7,2,3,Clear,Intersection,0.9894464291375045,3,Dry,Daylight,1,40,Bike,Shivajinagar
26,18.5444443344732,73.85922028903803,2023-08-06 23:10:59,23,6,2,Rain,Highway,0.6150926341207776,3,Wet,Night,0,60,Car,Shivajinagar
27,18.536869757095687,73.84401098817227,2023-03-19 05:18:04,5,6,1,Rain,Highway,0.9765359235119766,5,Dry,Night,0,40,Bus,Shivajinagar
28,18.522332062819316,73.83235152775313,2023-10-06 01:47:11,1,4,2,Rain,Intersection,0.6584610025781388,2,Wet,Night,1,80,Bus,Shivajinagar
29,18.51932280027175,73.86139602828146,2023-09-10 09:21:43,9,6,2,Clear,Highway,0.6476452942094694,2,Dry,Daylight,0,60,Bus,Shivajinagar
30,18.512781120309935,73.85217717077498,2023-09-30 08:49:21,8,5,1,Clear,Intersection,0.628103471797229,5,Dry,Daylight,1,40,Bus,Shivajinagar
